"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","種別","町字ID","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","アクセス方法","駐車場情報","電話番号","内線番号","FAX番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","認可等年月日","収容定員","受入年齢","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","一時預かりの有無","子供預かり料金種別","子供預かり料金","子供預かり料金備考","子供預かり開所時間","子供預かり閉所時間","病児保育の有無","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"262021","A000000001","京都府舞鶴市","うみべのもり保育所","ウミベノモリホイクショ","","認可公立保育所","0107000","京都府","舞鶴市","字浜","2022","","35.477822","135.389517","","","","","(0773)62-0464","","(0773)62-0390","","","","6250036","","","","150","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000002","京都府舞鶴市","中保育所","ナカホイクショ","","認可公立保育所","0006000","京都府","舞鶴市","字余部下","1063","","35.476517","135.362456","","","","","(0773)62-0292","","(0773)62-0292","","","","6250087","","","","200","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000003","京都府舞鶴市","舞鶴こども園","マイヅルコドモエン","","認定こども園（幼保連携型）","0014000","京都府","舞鶴市","字円満寺","100-4","","35.449774","135.331718","","","","","(0773)75-0525","","(0773)75-0526","","","","6240854","","","","93","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000004","京都府舞鶴市","やまもも保育園","ヤマモモホイクエン","","認可私立保育所","0120000","京都府","舞鶴市","字溝尻","1106","","35.46349","135.409417","","","","","(0773)62-0524","","(0773)77-5433","","","","6250035","","","","80","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000005","京都府舞鶴市","八雲保育園","ヤクモホイクエン","","認可私立保育所","0117000","京都府","舞鶴市","字丸田","27-1","","35.460305","135.275176","","","","","(0773)82-0278","","(0773)82-0302","","","","6240955","","","","70","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000006","京都府舞鶴市","昭光保育園","ショウコウホイクエン","","認定こども園（幼保連携型）","0107000","京都府","舞鶴市","字浜","221","","35.475307","135.392849","","","","","(0773)63-4821","","(0773)62-1535","","","","6250036","","","","103","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000007","京都府舞鶴市","タンポポこども園","タンポポコドモエン","","認定こども園（幼保連携型）","0073000","京都府","舞鶴市","字泉源寺","223","","35.482001","135.414289","","","","","(0773)64-2762","","(0773)64-2763","","","","6250026","","","","90","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000008","京都府舞鶴市","さくらこども園","サクラコドモエン","","認定こども園（幼保連携型）","0153000","京都府","舞鶴市","七条中町","8-20","","35.460317","135.396825","","","","","(0773)62-6987","","(0773)64-0993","","","","6250054","","","","110","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000009","京都府舞鶴市","平こども園","タイラコドモエン","","認定こども園（幼保連携型）","0090000","京都府","舞鶴市","字中田","440-1","","35.516904","135.396951","","","","","(0773)68-0107","","(0773)60-5860","","","","6250132","","","","85","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000010","京都府舞鶴市","朝日幼稚園","アサヒヨウチエン","","認定こども園（幼保連携型）","0107000","京都府","舞鶴市","字浜","796","","35.472216","135.395751","","","","","(0773)62-1874","","(0773)62-7033","","","","6250036","","","","25","3歳から","","","","","無","","","","","","無","","","","","","","","",""
"262021","A000000011","京都府舞鶴市","森の子ら幼稚園","モリノコラヨウチエン","","認定こども園（幼保連携型）","0168000","京都府","舞鶴市","丸山口町","24","","35.459988","135.390963","","","","","(0773)62-0740","","(0773)65-2157","","","","6250066","","","","30","3歳から","","","","","無","","","","","","無","","","","","","","","",""
"262021","A000000012","京都府舞鶴市","朝来幼稚園","アセクヨウチエン","","認定こども園（幼保連携型）","0131000","京都府","舞鶴市","字吉野","499-3","","35.49964","135.429487","","","","","(0773)63-3426","","(0773)63-9055","","","","6250003","","","","68","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000013","京都府舞鶴市","ルンビニこども園","ルンビニコドモエン","","認定こども園（幼保連携型）","0059000","京都府","舞鶴市","字寺内","90","","35.449899","135.324751","","","","","(0773)76-3703","","(0773)76-4210","","","","6240929","","","","132","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000014","京都府舞鶴市","永福こども園","エイフクコドモエン","","認定こども園（幼保連携型）","0047000","京都府","舞鶴市","字公文名","63","","35.434426","135.327524","","","","","(0773)75-4006","","(0773)75-4016","","","","6240821","","","","134","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000015","京都府舞鶴市","永福こども園（城屋園舎）","エイフクコドモエン　ジヨウヤエンシャ","","認定こども園（幼保連携型）","0065000","京都府","舞鶴市","字城屋","837","","35.429304","135.29464","","","","","(0773)75-4005","","(0773)77-5105","","","","6240834","","","","45","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000016","京都府舞鶴市","東山こども園","ヒガシヤマコドモエン","","認定こども園（幼保連携型）","0048000","京都府","舞鶴市","倉谷","961-1","","35.443205","135.342619","","","","","(0773)76-7314","","(0773)77-1668","","","","6240906","","","","165","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000017","京都府舞鶴市","相愛こども園","ソウアイコドモエン","","認定こども園（幼保連携型）","0013000","京都府","舞鶴市","魚屋","234-1","","35.45272","135.329442","","","","","(0773)75-1083","","(0773)75-1233","","","","6240923","","","","120","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000018","京都府舞鶴市","なかすじこども園","ナカスジコドモエン","","認定こども園（幼保連携型）","0047000","京都府","舞鶴市","公文名","344","","35.430999","135.329654","","","","","(0773)76-7122","","(0773)76-7125","","","","6240821","","","","72","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000019","京都府舞鶴市","岡田こども園","オカダコドモエン","","認定こども園（幼保連携型）","0057000","京都府","舞鶴市","志高","70","","35.438555","135.254529","","","","","(0773)60-2778","","(0773)83-0878","","","","6240102","","","","60","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000020","京都府舞鶴市","橘幼稚園","タチバナヨウチエン","","私立幼稚園","0107000","京都府","舞鶴市","字浜","682","","35.471614","135.390292","","","","","(0773)62-5168","","(0773)62-5469","","","","6250036","","","","300","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000021","京都府舞鶴市","シオン幼稚園","シオンヨウチエン","","私立幼稚園","0107000","京都府","舞鶴市","字浜","40","","35.476256","135.393905","","","","","(0773)62-1438","","(0773)77-7251","","","","6250036","","","","120","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000022","京都府舞鶴市","舞鶴聖母幼稚園","マイヅルセイボヨウチエン","","私立幼稚園","0028000","京都府","舞鶴市","上安久","381","","35.453052","135.339503","","","","","(0773)75-1007","","(0773)75-1078","","","","6240913","","","","315","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000023","京都府舞鶴市","倉梯幼稚園","クラハシヨウチエン","","私立幼稚園","0153000","京都府","舞鶴市","七条中町","8-2","","35.460304","135.397033","","","","","(0773)62-5224","","(0773)62-5884","","","","6250054","","","","280","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000024","京都府舞鶴市","中舞鶴幼稚園","ナカマイヅルヨウチエン","","私立幼稚園","0005000","京都府","舞鶴市","字余部上","116-3","","35.474247","135.363578","","","","","(0773)62-5166","","(0773)62-5366","","","","6250083","","","","104","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000025","京都府舞鶴市","三鶴幼稚園","ミツルヨウチエン","","私立幼稚園","0110000","京都府","舞鶴市","字引土","282","","35.443348","135.326992","","","","","(0773)75-1316","","(0773)76-8886","","","","6240841","","","","120","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000026","京都府舞鶴市","志楽幼稚園","シラクヨウチエン","","私立幼稚園","0158000","京都府","舞鶴市","田中町","39-1","","35.483293","135.422479","","","","","(0773)64-3574","","(0773)64-3594","","","","6250024","","","","160","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000027","京都府舞鶴市","ひばり幼稚園","ヒバリヨウチエン","","私立幼稚園","0126000","京都府","舞鶴市","字森","1101","","35.459144","135.39301","","","","","(0773)62-1157","","(0773)64-0380","","","","6250062","","","","200","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000028","京都府舞鶴市","池内幼稚園","イケウチヨウチエン","","私立幼稚園","0101000","京都府","舞鶴市","字布敷","120-3","","35.410422","135.345136","","","","","(0773)75-1930","","(0773)75-1971","","","","6240806","","","","150","満３歳から","","","","","","","","","","","無","","","","","","","","",""
"262021","A000000029","京都府舞鶴市","ひょうたん山共同保育園","ヒヨウタンヤマキヨウドウホイクエン","","認可外保育所","0132000","京都府","舞鶴市","字与保呂","1292-1","","35.443611","135.430999","","","","","(0773)64-7946","","(0773)60-4619","","","","6250074","","","","28","０歳から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000030","京都府舞鶴市","風の子共同保育園","カゼノコキヨウドウホイクエン","","認可外保育所","0122000","京都府","舞鶴市","字南田辺","6","","35.445298","135.329977","","","","","(0773)44-0125","","(0773)21-9028","","","","6240853","","","","33","０歳から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000031","京都府舞鶴市","いちご園","イチゴエン","","認可外保育所","0107000","京都府","舞鶴市","字浜","791","","35.472775","135.395088","","","","","(0773)60-1775","","(0773)60-1775","","","","6250036","","","","30","０歳から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000032","京都府舞鶴市","ひよこ保育所","ヒヨコホイクシヨ","","認可外保育所","0128000","京都府","舞鶴市","字行永","2410","","35.461534","135.401386","","","","","(0773)65-3020","","(0773)65-3022","","","","6250052","","","","20","０歳から","","","","従業員のみ","有","","","","","","無","","","","","","","","",""
"262021","A000000033","京都府舞鶴市","マーチング保育園","マーチングホイクエン","","認可外保育所","0048000","京都府","舞鶴市","字倉谷","1350-12","","35.444185","135.33875","","","","","(0773)75-4436","","(0773)75-4436","","","","6240906","","","","25","０歳から","","","","従業員のみ","有","","","","","","無","","","","","","","","",""
"262021","A000000034","京都府舞鶴市","舞鶴共済病院内保育所ももやまキッズ","マイヅルキヨウサイビヨウインナイホイクシヨモモヤマキツズ","","認可外保育所","0175000","京都府","舞鶴市","桃山町","1-1","","35.467838","135.391268","","","","","(0773)64-5764","","(0773)64-5764","","","","6250060","","","","25","０歳から","","","","従業員のみ","有","","","","","","無","","","","","","","","",""
"262021","A000000035","京都府舞鶴市","京滋ヤクルト販売(株)舞鶴託児センター室","ケイジヤクルトハンバイカブシキガイシャ　マイヅルセンタータクジシツ","","認可外保育所","0048000","京都府","舞鶴市","字倉谷","990-1","","35.44441","135.34415","","","","","(0773)75-2027","","(0773)78-9032","","","","6240906","","","","10","０歳から","","","","従業員のみ","有","","","","","","無","","","","","","","","",""
"262021","A000000036","京都府舞鶴市","社会福祉法人大樹会休日法人保育施設","シヤカイフクシホウジンダイジユカイキユウジツホウジンホイクシセツ","","認可外保育所","0005000","京都府","舞鶴市","字余部上","186","","35.47405","135.367527","","","","","(0773)77-5631","","","","","","6250083","","","","8","０歳から","","","","従業員のみ","","","","","","","無","","","","","","","","",""
"262021","A000000037","京都府舞鶴市","星の桜保育園","ホシノサクラホイクエン","","認可外保育所","0145000","京都府","舞鶴市","北浜町","3-9","","35.46967","135.398065","","","","","(0773)63-3762","","(0773)63-6969","","","","6250050","","","","12","０歳から","","","","","有","","","","","","","","","","","","","","",""
"262021","A000000038","京都府舞鶴市","舞鶴せいほう保育園","マイヅルセイホウホイクエン","","認可外保育所","0110000","京都府","舞鶴市","字引土","19-5","","35.441508","135.328796","","","","","(0773)78-3252","","(0773)78-3258","","","","6240841","","","","10","０歳から","","","","従業員のみ","有","","","","","","無","","","","","","","","",""
